 時間帯,リンクID,種別,最大セクション,自由速度,平均速度,率
  600, 911020051,    1,   27,    9,     9.0,   0.998
  600, 920910051,    1,   37,    9,     9.0,   1.000
  600, 910910031,    1,   19,    9,     8.9,   0.992
  600, 921180091,    1,   27,    9,     9.0,   1.000
  600, 920210091,    1,   13,    9,     9.0,   1.000
  600, 921180071,    1,   19,    9,     9.0,   1.000
  600, 921020091,    1,   72,    9,     9.0,   1.000
  600, 920910071,    1,   22,    9,     8.8,   0.981
  600, 921510051,    1,   10,    7,     7.0,   1.000
  600, 921610011,    1,    9,    7,     7.0,   1.000
  600, 921610051,    1,    8,    7,     7.0,   1.000
  600, 921610071,    1,    8,    7,     7.0,   1.000
  600, 921610091,    1,   23,    7,     7.0,   1.000
  600, 920340011,    1,   20,    7,     7.0,   1.000
  600, 921420111,    1,    5,    7,     7.0,   0.998
  600, 920400051,    1,    8,    7,     7.0,   1.000
  600, 920400071,    1,    8,    7,     7.0,   1.000
  600, 720010091,    1,   11,   15,    15.0,   1.000
  600, 921020191,    1,    4,    9,     9.0,   1.000
  600, 921720091,    1,   11,    7,     7.0,   0.995
  600, 920650031,    1,   18,    9,     9.0,   1.000
  600, 920210031,    1,   14,    9,     9.0,   1.000
  600, 620010071,    1,   25,   12,    12.0,   1.000
  600, 320020031,    1,   15,   12,    12.0,   1.000
  600, 620020011,    1,   31,   15,    15.0,   1.000
  600, 420070051,    1,   21,   15,    15.0,   1.000
  600, 420070091,    1,   57,   15,    15.0,   1.000
  600, 921920031,    1,   51,    7,     7.0,   1.000
  600, 420070111,    1,   35,   15,    15.0,   1.000
  600, 920240051,    1,   47,    9,     9.0,   0.998
  600, 420070131,    1,   33,   15,    15.0,   1.000
  600, 920210151,    1,   19,   12,    11.8,   0.983
  600, 420070151,    1,   32,   15,    15.0,   1.000
  600, 920880011,    1,   60,    7,     7.0,   1.000
  600, 420070171,    1,   32,   15,    15.0,   1.000
  600, 921240011,    1,   59,   12,    12.0,   1.000
  600, 420070191,    1,   29,   15,    15.0,   1.000
  600, 420070231,    1,   65,   15,    15.0,   1.000
  600, 420050061,    1,   81,   18,    18.0,   1.000
  600, 620110051,    1,   15,   12,    12.0,   1.000
  600, 420050081,    1,   24,   18,    18.0,   0.998
  600, 610030031,    1,   53,   15,    15.0,   1.000
  600, 410040091,    1,   45,   15,    15.0,   1.000
  600, 420070011,    1,   63,   15,    15.0,   1.000
  600, 410040071,    1,   20,   15,    15.0,   1.000
  600, 920380031,    1,   63,    9,     9.0,   1.000
  600, 410040051,    1,   12,   15,    15.0,   0.999
  600, 410040031,    1,   27,   15,    14.9,   0.995
  600, 710010091,    1,   13,   15,    15.0,   1.000
  600, 920260011,    1,   17,   12,    12.0,   1.000
  600, 710010071,    1,   56,   15,    15.0,   1.000
  600, 720010071,    1,   56,   15,    15.0,   1.000
  600, 920990011,    1,   11,    7,     7.0,   1.000
  600, 720010031,    1,   34,   15,    15.0,   1.000
  600, 921050071,    1,   30,   12,    12.0,   1.000
  600, 920080011,    1,  103,    7,     7.0,   1.000
  600, 420050041,    1,   92,   18,    18.0,   1.000
  600, 921050011,    1,   13,   12,    12.0,   1.000
  600, 420050101,    1,   20,   18,    17.8,   0.990
  600, 920470171,    1,  108,    7,     7.0,   1.000
  600, 921350071,    1,   65,    7,     7.0,   1.000
  600, 921020291,    1,  103,    7,     7.0,   1.000
  600, 921670041,    1,   41,    9,     9.0,   1.000
  600, 720020041,    1,   27,   15,    15.0,   1.000
  600, 720010051,    1,   66,   15,    15.0,   1.000
  600, 921680011,    1,   62,    7,     7.0,   1.000
  600, 921390031,    1,   57,    7,     7.0,   1.000
  600, 921050031,    1,   38,   12,    12.0,   1.000
  600, 320020251,    1,   26,   12,    12.0,   0.996
  600, 920030011,    1,   69,    7,     7.0,   1.000
  600, 920850071,    1,  236,    7,     7.0,   1.000
  600, 620110111,    1,   64,   12,    12.0,   1.000
  600, 920210271,    1,   69,   12,    12.0,   1.000
  600, 920320011,    1,  109,    7,     7.0,   1.000
  600, 921020311,    1,   35,    9,     9.0,   1.000
  600, 921350011,    1,   32,    9,     9.0,   1.000
