 時間帯,リンクID,種別,最大セクション,自由速度,平均速度,率
 5400, 911110011,    1,   66,    7,     7.0,   1.000
 5400, 920550031,    1,   47,    7,     7.0,   1.000
 5400, 921010071,    1,   34,    7,     7.0,   1.000
 5400, 910800011,    1,   71,    7,     7.0,   1.000
 5400, 920710051,    1,   66,    7,     7.0,   1.000
 5400, 920710031,    1,   66,    7,     7.0,   1.000
 5400, 911220011,    1,   43,    7,     7.0,   1.000
 5400, 910710011,    1,   61,    7,     7.0,   1.000
 5400, 920830051,    1,   71,    7,     7.0,   1.000
 5400, 910830031,    1,   70,    7,     7.0,   1.000
 5400, 910700011,    1,   65,    7,     7.0,   1.000
 5400, 910640011,    1,   94,    7,     7.0,   1.000
 5400, 921260051,    1,   43,    7,     7.0,   1.000
 5400, 921740071,    1,    6,    7,     7.0,   1.000
 5400, 912000011,    1,   40,    7,     7.0,   1.000
 5400, 922000031,    1,   39,    7,     7.0,   1.000
 5400, 921000051,    1,    6,    7,     7.0,   1.000
 5400, 911000031,    1,   97,    7,     7.0,   1.000
 5400, 920180051,    1,   40,    7,     7.0,   1.000
 5400, 920300031,    1,   39,    9,     9.0,   1.000
 5400, 920930031,    1,   19,    7,     7.0,   1.000
 5400, 920630051,    1,   71,    7,     7.0,   1.000
 5400, 920180031,    1,   95,    7,     7.0,   1.000
 5400, 921930031,    1,   56,    7,     7.0,   1.000
 5400, 910630011,    1,   72,    7,     7.0,   1.000
 5400, 920530031,    1,   36,    7,     7.0,   1.000
 5400, 920630031,    1,   71,    7,     7.0,   1.000
 5400, 921840031,    1,   19,    7,     7.0,   1.000
 5400, 620060011,    1,   74,   12,    12.0,   1.000
 5400, 911640011,    1,   78,   12,    12.0,   1.000
 5400, 410020231,    1,   27,    9,     9.0,   1.000
 5400, 921640011,    1,   78,   12,    12.0,   1.000
 5400, 620140011,    1,   29,   12,    12.0,   1.000
 5400, 910210311,    1,   72,   12,    12.0,   1.000
 5400, 610140151,    1,   68,   12,    12.0,   1.000
 5400, 911200031,    1,   85,   12,    12.0,   1.000
 5400, 310030031,    1,   56,   15,    15.0,   1.000
 5400, 920750071,    1,  137,    7,     7.0,   1.000
 5400, 910210451,    1,   50,   12,    12.0,   1.000
 5400, 320020371,    1,  110,   12,    12.0,   1.000
 5400, 921320151,    1,   79,    7,     7.0,   1.000
 5400, 310020351,    1,   60,   12,    12.0,   1.000
 5400, 920420071,    1,   24,   12,    12.0,   1.000
 5400, 911560011,    1,  129,    7,     7.0,   1.000
 5400, 610040011,    1,  114,   12,    12.0,   1.000
 5400, 920660031,    1,   63,   12,    12.0,   1.000
 5400, 920060031,    1,   80,    7,     7.0,   1.000
 5400, 921480031,    1,  150,    7,     7.0,   1.000
 5400, 911480011,    1,   89,    7,     7.0,   1.000
 5400, 910520011,    1,   59,    7,     7.0,   1.000
 5400, 910280051,    1,   48,    7,     7.0,   1.000
 5400, 910210331,    1,   53,   12,    12.0,   1.000
 5400, 910610011,    1,   31,    7,     7.0,   1.000
 5400, 610140171,    1,   92,   12,    12.0,   1.000
 5400, 620140191,    1,  115,   12,    12.0,   1.000
 5400, 910620091,    1,   72,    7,     7.0,   1.000
 5400, 620140291,    1,  155,   12,    12.0,   1.000
 5400, 921940011,    1,   88,    7,     7.0,   1.000
 5400, 911800071,    1,  159,   12,    12.0,   1.000
 5400, 310030131,    1,   25,   15,    15.0,   1.000
 5400, 921800091,    1,  325,   12,    12.0,   1.000
 5400, 610040031,    1,   15,    9,     9.0,   1.000
 5400, 620040051,    1,   49,    9,     9.0,   1.000
 5400, 910100031,    1,   54,    7,     7.0,   1.000
 5400, 420010051,    1,   64,   12,    12.0,   1.000
 5400, 920100051,    1,   78,    7,     7.0,   0.998
 5400, 410010031,    1,   94,    9,     2.8,   0.313
 5400, 310030051,    1,   57,   15,    15.0,   1.000
 5400, 920210531,    1,   76,    7,     7.0,   1.000
 5400, 920750031,    1,   99,    7,     7.0,   1.000
 5400, 910210511,    1,   29,    7,     7.0,   1.000
 5400, 920170031,    1,   66,    7,     7.0,   1.000
 5400, 910360011,    1,   54,    7,     7.0,   1.000
 5400, 920360031,    1,   50,    7,     7.0,   1.000
 5400, 921150051,    1,  123,    7,     7.0,   1.000
 5400, 921320051,    1,   19,    7,     7.0,   1.000
 5400, 920020031,    1,  106,    7,     7.0,   1.000
 5400, 911320091,    1,   84,    7,     7.0,   1.000
 5400, 921320111,    1,   85,    7,     7.0,   1.000
 5400, 921150031,    1,   22,    7,     7.0,   1.000
 5400, 921880031,    1,   36,    7,     7.0,   1.000
 5400, 910100011,    1,   33,    7,     7.0,   1.000
 5400, 920720071,    1,   29,    7,     7.0,   1.000
 5400, 911910011,    1,   60,    7,     7.0,   1.000
 5400, 920720051,    1,   47,    7,     7.0,   1.000
 5400, 910510011,    1,   55,    7,     7.0,   1.000
 5400, 620100151,    1,   44,   12,    12.0,   1.000
 5400, 410050241,    1,   69,   18,    18.0,   1.000
 5400, 910290011,    1,   67,    7,     7.0,   1.000
 5400, 410050201,    1,  111,   18,    18.0,   1.000
 5400, 920290031,    1,   54,    7,     7.0,   1.000
 5400, 410050221,    1,  119,   18,    18.0,   1.000
 5400, 910960151,    1,   69,    7,     7.0,   1.000
 5400, 310010191,    1,  124,    9,     9.0,   1.000
 5400, 911780011,    1,   51,    9,     9.0,   1.000
 5400, 911650011,    1,  156,    7,     7.0,   1.000
 5400, 610100191,    1,    3,   12,    12.0,   1.000
 5400, 610100031,    1,  310,   12,    12.0,   1.000
 5400, 420050321,    1,  221,   15,    15.0,   1.000
 5400, 410050261,    1,   84,   15,    15.0,   1.000
 5400, 910070011,    1,   23,    9,     9.0,   1.000
 5400, 911310011,    1,   76,    7,     7.0,   1.000
 5400, 910950011,    1,   75,    7,     7.0,   1.000
 5400, 920950031,    1,   68,    7,     7.0,   1.000
 5400, 320020291,    1,   63,    9,     9.0,   1.000
 5400, 610140211,    1,   57,    9,     9.0,   1.000
 5400, 620140231,    1,  127,   12,    12.0,   1.000
 5400, 610110071,    1,  103,   12,     2.4,   0.201
 5400, 620110091,    1,  127,   12,    12.0,   1.000
 5400, 910210231,    1,   54,    9,     3.5,   0.385
 5400, 910500011,    1,  130,    9,     9.0,   1.000
 5400, 610080111,    1,  102,   12,    12.0,   1.000
 5400, 920470151,    1,  130,   12,    11.6,   0.966
 5400, 910130011,    1,  207,   12,    12.0,   1.000
 5400, 920130031,    1,   58,    7,     7.0,   1.000
 5400, 620030011,    1,  155,   15,    14.9,   0.995
 5400, 710020061,    1,  113,   15,    15.0,   1.000
 5400, 420040091,    1,   46,   15,    15.0,   1.000
 5400, 320020171,    1,   40,   12,    12.0,   1.000
 5400, 410050141,    1,  357,   18,    11.1,   0.618
 5400, 420040011,    1,   30,   15,    15.0,   1.000
 5400, 610080071,    1,   32,   12,    12.0,   1.000
 5400, 620080031,    1,    7,    9,     9.0,   1.000
 5400, 921830051,    1,   11,    7,     7.0,   1.000
 5400, 911510011,    1,   36,    7,     7.0,   1.000
 5400, 921510031,    1,   31,    7,     7.0,   1.000
 5400, 921420171,    1,   10,    7,     7.0,   1.000
 5400, 911510031,    1,   31,    7,     7.0,   1.000
 5400, 921830031,    1,    7,    7,     7.0,   1.000
 5400, 911610051,    1,    8,    7,     7.0,   1.000
 5400, 920470031,    1,   13,    9,     9.0,   1.000
 5400, 911020091,    1,   72,    9,     9.0,   1.000
 5400, 921770011,    1,    8,    7,     7.0,   1.000
 5400, 910400031,    1,   26,    7,     7.0,   1.000
 5400, 921830011,    1,   15,    7,     7.0,   1.000
 5400, 910400051,    1,    8,    7,     7.0,   1.000
 5400, 911720031,    1,    7,    7,     7.0,   1.000
 5400, 920210051,    1,   24,    9,     9.0,   1.000
 5400, 910650011,    1,   61,    9,     9.0,   1.000
 5400, 910210011,    1,   13,    9,     9.0,   1.000
 5400, 620150021,    1,  216,   18,    18.0,   1.000
 5400, 921020051,    1,   27,    9,     9.0,   1.000
 5400, 420040071,    1,   17,   15,    15.0,   1.000
 5400, 920910031,    1,   19,    9,     9.0,   1.000
 5400, 420040051,    1,   12,   15,    15.0,   1.000
 5400, 920890011,    1,   86,    7,     7.0,   1.000
 5400, 920470131,    1,   62,    9,     9.0,   1.000
 5400, 410070031,    1,   48,   15,    13.3,   0.889
 5400, 911920011,    1,   56,    7,     7.0,   1.000
 5400, 410070091,    1,   57,   15,    15.0,   1.000
 5400, 910240031,    1,   56,    9,     9.0,   1.000
 5400, 410070111,    1,   35,   15,    15.0,   1.000
 5400, 910210131,    1,   56,    9,     9.0,   1.000
 5400, 410070131,    1,   33,   15,    15.0,   1.000
 5400, 410070151,    1,   32,   15,    15.0,   1.000
 5400, 921070031,    1,   60,    7,     7.0,   1.000
 5400, 410070171,    1,   32,   15,    15.0,   1.000
 5400, 911070011,    1,   78,    9,     9.0,   1.000
 5400, 921270031,    1,   50,    7,     7.0,   1.000
 5400, 410070191,    1,   29,   15,    15.0,   1.000
 5400, 911270011,    1,   78,    7,     7.0,   1.000
 5400, 410050011,    1,   30,   18,    18.0,   1.000
 5400, 910420011,    1,   57,   12,    12.0,   1.000
 5400, 410050041,    1,   92,   18,    18.0,   1.000
 5400, 920420031,    1,  167,   12,    12.0,   1.000
 5400, 420050161,    1,  104,   18,    18.0,   1.000
 5400, 920210231,    1,   54,    9,     8.9,   0.984
 5400, 410050121,    1,  106,   18,     7.8,   0.434
 5400, 420050181,    1,  357,   18,    18.0,   1.000
 5400, 910210211,    1,   93,    9,     9.0,   1.000
 5400, 610030011,    1,  155,   15,    15.0,   1.000
 5400, 620110031,    1,  127,   12,    10.7,   0.893
 5400, 620030031,    1,   53,   15,    12.7,   0.845
 5400, 920210211,    1,   93,    9,     5.5,   0.612
 5400, 910470151,    1,  130,   12,    12.0,   1.000
 5400, 610150011,    1,  216,   18,    18.0,   1.000
 5400, 420050241,    1,  110,   18,    18.0,   1.000
 5400, 420050221,    1,   38,   18,    18.0,   1.000
 5400, 911390011,    1,   72,    7,     7.0,   1.000
 5400, 410050161,    1,   90,   18,    18.0,   1.000
 5400, 610110091,    1,  127,   12,     2.4,   0.202
 5400, 320020111,    1,   18,   12,    12.0,   1.000
 5400, 320020051,    1,   41,   12,    12.0,   1.000
 5400, 911020291,    1,  103,    7,     7.0,   1.000
 5400, 320020271,    1,  109,   12,    12.0,   1.000
 5400, 310020251,    1,   26,   12,    12.0,   1.000
 5400, 921240031,    1,   72,    7,     7.0,   1.000
 5400, 911240011,    1,   59,   12,    12.0,   1.000
 5400, 920470111,    1,   48,    9,     9.0,   1.000
 5400, 910380051,    1,   48,    7,     7.0,   1.000
 5400, 910470091,    1,   51,    9,     9.0,   1.000
 5400, 920210311,    1,   72,   12,    12.0,   1.000
 5400, 910230071,    1,   75,    7,     6.9,   0.990
 5400, 610110051,    1,   15,   12,     5.7,   0.472
 5400, 920890031,    1,   12,    9,     9.0,   1.000
 5400, 910890011,    1,   86,    7,     7.0,   1.000
 5400, 610020011,    1,   31,   15,    15.0,   1.000
 5400, 921020271,    1,   40,    7,     7.0,   1.000
 5400, 921050111,    1,   86,   12,    12.0,   1.000
 5400, 911050091,    1,   90,   12,    12.0,   0.999
 5400, 920850031,    1,   48,    9,     8.8,   0.979
 5400, 910230091,    1,   89,    7,     7.0,   1.000
 5400, 910850011,    1,   70,    9,     9.0,   1.000
 5400, 920230111,    1,   90,    7,     7.0,   1.000
 5400, 920620051,    1,  125,    7,     7.0,   1.000
 5400, 921760031,    1,   74,    7,     7.0,   1.000
 5400, 910960071,    1,   34,    9,     9.0,   1.000
 5400, 911680011,    1,   62,    7,     7.0,   1.000
 5400, 910880011,    1,   60,    7,     7.0,   1.000
 5400, 911250011,    1,   22,    7,     7.0,   1.000
 5400, 920880031,    1,   38,    7,     7.0,   1.000
 5400, 920230071,    1,   75,    7,     7.0,   1.000
 5400, 920120071,    1,   75,    7,     7.0,   1.000
 5400, 921550011,    1,   24,    7,     7.0,   1.000
 5400, 610140291,    1,  155,   12,    12.0,   1.000
 5400, 610100271,    1,   64,   12,    12.0,   1.000
 5400, 620100291,    1,   86,   12,    12.0,   1.000
 5400, 921260011,    1,   52,    7,     7.0,   1.000
 5400, 910660251,    1,   34,   12,    12.0,   1.000
 5400, 610100551,    1,   47,    9,     9.0,   1.000
 5400, 610100511,    1,   66,   12,    12.0,   1.000
 5400, 620100371,    1,   47,   12,    12.0,   1.000
 5400, 920310011,    1,   30,    7,     7.0,   1.000
 5400, 610100471,    1,   54,   12,    12.0,   1.000
 5400, 911280111,    1,   34,    7,     7.0,   1.000
 5400, 620100471,    1,   54,   12,    12.0,   1.000
 5400, 610100391,    1,   28,   12,    12.0,   1.000
 5400, 620100431,    1,   95,   12,    12.0,   1.000
 5400, 610100411,    1,   47,   12,    12.0,   1.000
 5400, 911010071,    1,   34,    7,     7.0,   1.000
 5400, 610100531,    1,    3,   12,    12.0,   1.000
 5400, 620100591,    1,   62,    9,     9.0,   1.000
 5400, 610100571,    1,   15,    9,     9.0,   1.000
 5400, 910560011,    1,   82,    7,     7.0,   1.000
 5400, 920660111,    1,   48,   12,    12.0,   1.000
 5400, 620100511,    1,   66,   12,    12.0,   1.000
 5400, 620100351,    1,   19,   12,    12.0,   1.000
 5400, 610100331,    1,   41,   12,    12.0,   1.000
 5400, 920660191,    1,    4,   12,    12.0,   1.000
 5400, 920660151,    1,    7,   12,    12.0,   1.000
 5400, 910660111,    1,   48,   12,    12.0,   1.000
 5400, 921970091,    1,   67,    7,     7.0,   1.000
 5400, 911550011,    1,   24,    7,     7.0,   1.000
 5400, 910840031,    1,   47,    7,     7.0,   1.000
 5400, 922010011,    1,   71,    7,     7.0,   1.000
 5400, 911550071,    1,    3,    7,     7.0,   1.000
 5400, 921550091,    1,   35,    7,     7.0,   1.000
 5400, 910300031,    1,   39,    9,     9.0,   1.000
 5400, 922010091,    1,   43,    7,     7.0,   1.000
 5400, 912010071,    1,   26,    7,     7.0,   1.000
 5400, 910150011,    1,   32,    7,     7.0,   1.000
 5400, 920150031,    1,  153,    7,     7.0,   1.000
 5400, 921990011,    1,   29,    7,     7.0,   1.000
 5400, 910310031,    1,   50,    7,     7.0,   1.000
 5400, 911290031,    1,    3,    7,     7.0,   1.000
 5400, 912010011,    1,   71,    7,     7.0,   1.000
 5400, 911930031,    1,   56,    7,     7.0,   1.000
 5400, 912010031,    1,    3,    7,     7.0,   1.000
 5400, 911970091,    1,   67,    7,     7.0,   1.000
 5400, 911990071,    1,   33,    7,     7.0,   1.000
 5400, 911990091,    1,   33,    7,     7.0,   1.000
 5400, 610100591,    1,   62,    9,     9.0,   1.000
 5400, 911030011,    1,   43,    7,     7.0,   1.000
 5400, 920550011,    1,   67,    7,     7.0,   1.000
 5400, 911280071,    1,   26,    7,     7.0,   1.000
 5400, 920800011,    1,   71,    7,     7.0,   1.000
 5400, 921280111,    1,   34,    7,     7.0,   1.000
 5400, 922010071,    1,   26,    7,     7.0,   1.000
 5400, 920930011,    1,   40,    7,     7.0,   1.000
 5400, 911380211,    1,   34,    7,     7.0,   1.000
 5400, 921380231,    1,   17,    7,     7.0,   1.000
 5400, 921470051,    1,  120,    7,     7.0,   1.000
 5400, 920580011,    1,   40,    7,     7.0,   1.000
 5400, 920180011,    1,   74,    7,     7.0,   1.000
 5400, 921550051,    1,   40,    7,     7.0,   1.000
 5400, 911550091,    1,   35,    7,     7.0,   1.000
 5400, 911550111,    1,    3,    7,     7.0,   1.000
 5400, 920630011,    1,   72,    7,     7.0,   1.000
 5400, 921550131,    1,   33,    7,     7.0,   1.000
 5400, 910160051,    1,   36,    7,     7.0,   1.000
 5400, 920740011,    1,   16,    7,     7.0,   1.000
 5400, 920160071,    1,   32,    7,     7.0,   1.000
 5400, 911970111,    1,   48,    7,     7.0,   1.000
 5400, 921970131,    1,   17,    7,     7.0,   1.000
 5400, 920410011,    1,   17,    7,     7.0,   1.000
 5400, 911970031,    1,   40,    7,     7.0,   1.000
 5400, 921210011,    1,  165,    7,     7.0,   1.000
 5400, 921970051,    1,   26,    7,     7.0,   1.000
 5400, 920560011,    1,   82,    7,     7.0,   1.000
 5400, 920350111,    1,   84,    7,     7.0,   1.000
 5400, 910350091,    1,   59,    7,     7.0,   1.000
 5400, 410030031,    1,   89,   12,    11.9,   0.994
 5400, 921290011,    1,   28,    7,     7.0,   1.000
 5400, 910680031,    1,   78,    7,     7.0,   1.000
 5400, 920160031,    1,   12,    7,     7.0,   1.000
 5400, 910940011,    1,   49,    7,     7.0,   1.000
 5400, 921260071,    1,   22,    7,     7.0,   1.000
 5400, 911290011,    1,   28,    7,     7.0,   1.000
 5400, 911990051,    1,   28,    7,     7.0,   1.000
 5400, 911110051,    1,   45,    7,     7.0,   1.000
 5400, 911280011,    1,   14,    7,     7.0,   1.000
 5400, 921110011,    1,   66,    7,     7.0,   1.000
 5400, 921280031,    1,   20,    7,     7.0,   1.000
 5400, 911380171,    1,   24,    7,     7.0,   1.000
 5400, 921380191,    1,   34,    7,     7.0,   1.000
 5400, 920580031,    1,   37,    7,     7.0,   1.000
 5400, 921740011,    1,  103,    7,     7.0,   1.000
 5400, 922000011,    1,   40,    7,     7.0,   1.000
 5400, 921970071,    1,    7,    7,     7.0,   1.000
 5400, 910200011,    1,   25,    7,     7.0,   1.000
 5400, 910200031,    1,   18,    7,     7.0,   1.000
 5400, 920710011,    1,   61,    7,     7.0,   1.000
 5400, 920200051,    1,   21,    7,     7.0,   1.000
 5400, 620040011,    1,  114,   12,    12.0,   1.000
 5400, 610060011,    1,   74,   12,    12.0,   1.000
 5400, 920660011,    1,  117,   12,    12.0,   1.000
 5400, 310030111,    1,   58,   15,    15.0,   1.000
 5400, 420020111,    1,   94,   15,    15.0,   1.000
 5400, 410020091,    1,   71,   15,     7.8,   0.521
 5400, 921560101,    1,   77,    7,     7.0,   1.000
 5400, 911050111,    1,   86,   12,    12.0,   1.000
 5400, 921820011,    1,   32,    7,     7.0,   1.000
 5400, 921200111,    1,   75,    9,     9.0,   1.000
 5400, 911940011,    1,   88,    7,     7.0,   1.000
 5400, 920660071,    1,   37,   12,    12.0,   1.000
 5400, 920210551,    1,   52,    7,     7.0,   1.000
 5400, 420020191,    1,   48,    9,     9.0,   1.000
 5400, 910210531,    1,   76,    7,     7.0,   1.000
 5400, 410020171,    1,   63,    9,     9.0,   1.000
 5400, 310020431,    1,   65,   12,    12.0,   1.000
 5400, 320020451,    1,   28,   12,    12.0,   1.000
 5400, 420010011,    1,   23,    9,     9.0,   1.000
 5400, 320020411,    1,   29,   12,    12.0,   1.000
 5400, 921480011,    1,   89,    7,     7.0,   1.000
 5400, 310020371,    1,  110,   12,    12.0,   1.000
 5400, 320020391,    1,   20,   12,    12.0,   1.000
 5400, 320020351,    1,   60,   12,    12.0,   1.000
 5400, 921980011,    1,  267,    7,     7.0,   1.000
 5400, 320020311,    1,   11,   12,    12.0,   1.000
 5400, 921360011,    1,  261,    7,     7.0,   1.000
 5400, 911800091,    1,  325,   12,    12.0,   1.000
 5400, 921800111,    1,   94,    7,     7.0,   1.000
 5400, 910350031,    1,  117,    7,     7.0,   1.000
 5400, 920060011,    1,   85,    7,     7.0,   1.000
 5400, 921320171,    1,  155,    7,     7.0,   1.000
 5400, 620140051,    1,   63,   12,    12.0,   1.000
 5400, 410020071,    1,   43,   15,    14.8,   0.990
 5400, 911560041,    1,   62,    9,     9.0,   1.000
 5400, 910510031,    1,   59,    7,     7.0,   1.000
 5400, 910060031,    1,   80,    7,     7.0,   1.000
 5400, 920060051,    1,   35,    7,     7.0,   1.000
 5400, 911820011,    1,   32,    7,     7.0,   1.000
 5400, 921800131,    1,   21,    7,     7.0,   1.000
 5400, 921800071,    1,  159,   12,    12.0,   1.000
 5400, 910210551,    1,   52,    7,     7.0,   1.000
 5400, 911480031,    1,  150,    7,     7.0,   1.000
 5400, 921380131,    1,   27,    7,     7.0,   1.000
 5400, 920520051,    1,   69,    7,     7.0,   1.000
 5400, 920610071,    1,   34,    7,     7.0,   1.000
 5400, 920610051,    1,   11,    7,     7.0,   1.000
 5400, 921380091,    1,   77,    7,     7.0,   1.000
 5400, 921470011,    1,   26,    7,     7.0,   1.000
 5400, 921380011,    1,   80,    7,     7.0,   1.000
 5400, 911360011,    1,  261,    7,     7.0,   1.000
 5400, 911380011,    1,   80,    7,     7.0,   1.000
 5400, 910350171,    1,   82,    7,     7.0,   1.000
 5400, 911380131,    1,   27,    7,     7.0,   1.000
 5400, 921380151,    1,   86,    7,     7.0,   1.000
 5400, 921380111,    1,  110,    7,     7.0,   1.000
 5400, 911380091,    1,   77,    7,     7.0,   1.000
 5400, 910350111,    1,   84,    7,     7.0,   1.000
 5400, 920350131,    1,   71,    7,     7.0,   1.000
 5400, 911800011,    1,   86,    7,     7.0,   1.000
 5400, 921800031,    1,   28,    7,     7.0,   1.000
 5400, 910100051,    1,   78,    7,     7.0,   1.000
 5400, 921870031,    1,   78,    7,     7.0,   1.000
 5400, 910210471,    1,   37,    9,     9.0,   1.000
 5400, 920210491,    1,   88,    9,     9.0,   1.000
 5400, 920750011,    1,   81,    7,     7.0,   1.000
 5400, 910310011,    1,   30,    7,     7.0,   1.000
 5400, 910740031,    1,   50,    7,     7.0,   1.000
 5400, 911550051,    1,   40,    7,     7.0,   1.000
 5400, 910180051,    1,   40,    7,     7.0,   1.000
 5400, 912010091,    1,   43,    7,     7.0,   1.000
 5400, 912010051,    1,   68,    7,     7.0,   1.000
 5400, 911290051,    1,   48,    7,     7.0,   1.000
 5400, 920530011,    1,   40,    7,     7.0,   1.000
 5400, 910530011,    1,   40,    7,     7.0,   1.000
 5400, 911470031,    1,   44,    7,     7.0,   1.000
 5400, 910200051,    1,   21,    7,     7.0,   1.000
 5400, 920940011,    1,   49,    7,     7.0,   1.000
 5400, 911260031,    1,   43,    7,     7.0,   1.000
 5400, 910330011,    1,  178,    7,     7.0,   1.000
 5400, 921340111,    1,   29,    7,     7.0,   1.000
 5400, 910030031,    1,  144,    7,     7.0,   1.000
 5400, 911540031,    1,  200,    7,     7.0,   1.000
 5400, 910450051,    1,   41,    7,     7.0,   1.000
 5400, 920640011,    1,   94,    7,     7.0,   1.000
 5400, 920350151,    1,   65,    7,     7.0,   1.000
 5400, 910210591,    1,   76,    7,     7.0,   1.000
 5400, 920210591,    1,   76,    7,     7.0,   1.000
 5400, 920460031,    1,   51,    7,     7.0,   1.000
 5400, 911470011,    1,   26,    7,     7.0,   1.000
 5400, 911380031,    1,   39,    7,     7.0,   1.000
 5400, 910640031,    1,   60,    7,     7.0,   1.000
 5400, 920640031,    1,   60,    7,     7.0,   1.000
 5400, 910570011,    1,  136,    7,     7.0,   1.000
 5400, 920860011,    1,  149,    7,     7.0,   1.000
 5400, 921340071,    1,   61,    7,     7.0,   1.000
 5400, 910290051,    1,   38,    7,     7.0,   1.000
 5400, 910290031,    1,   54,    7,     7.0,   1.000
 5400, 910980031,    1,   50,    7,     7.0,   1.000
 5400, 410050281,    1,  221,   15,    15.0,   1.000
 5400, 310020171,    1,   40,   12,    12.0,   1.000
 5400, 310020211,    1,   89,   12,    12.0,   1.000
 5400, 320020191,    1,    4,   12,    12.0,   1.000
 5400, 920850011,    1,   70,    9,     9.0,   1.000
 5400, 921070011,    1,   78,    9,     9.0,   1.000
 5400, 911350031,    1,   64,    9,     9.0,   1.000
 5400, 910590011,    1,   37,    7,     7.0,   1.000
 5400, 910960111,    1,   16,    7,     7.0,   1.000
 5400, 910950031,    1,   68,    7,     7.0,   1.000
 5400, 610100071,    1,   57,   12,    12.0,   1.000
 5400, 610100051,    1,   84,   12,    12.0,   1.000
 5400, 920950011,    1,   75,    7,     7.0,   1.000
 5400, 910960131,    1,  114,    7,     7.0,   1.000
 5400, 910450011,    1,   48,    7,     7.0,   1.000
 5400, 911270031,    1,   50,    7,     7.0,   0.997
 5400, 911240031,    1,   72,    7,     7.0,   1.000
 5400, 910880031,    1,   38,    7,     7.0,   1.000
 5400, 911490031,    1,   36,    7,     7.0,   1.000
 5400, 921490031,    1,   36,    7,     7.0,   1.000
 5400, 920770011,    1,   77,    7,     7.0,   1.000
 5400, 921630031,    1,   50,    7,     7.0,   1.000
 5400, 921140031,    1,   96,    9,     9.0,   1.000
 5400, 921790051,    1,  137,    7,     7.0,   1.000
 5400, 921450011,    1,   48,    9,     9.0,   1.000
 5400, 911180131,    1,   28,    9,     9.0,   1.000
 5400, 910210071,    1,   30,    9,     9.0,   1.000
 5400, 910210111,    1,   22,    9,     9.0,   1.000
 5400, 910240011,    1,   34,    9,     9.0,   1.000
 5400, 911070031,    1,   60,    7,     7.0,   1.000
 5400, 911710011,    1,   64,    7,     7.0,   1.000
 5400, 310020111,    1,   18,   12,    12.0,   1.000
 5400, 310010011,    1,   56,   12,    12.0,   1.000
 5400, 910010011,    1,   16,    7,     7.0,   1.000
 5400, 911610031,    1,   20,    7,     7.0,   1.000
 5400, 911770011,    1,    8,    7,     7.0,   1.000
 5400, 911420031,    1,   19,    7,     7.0,   1.000
 5400, 911620011,    1,   24,    7,     7.0,   1.000
 5400, 911720071,    1,   22,    7,     7.0,   1.000
 5400, 911420051,    1,   15,    7,     7.0,   1.000
 5400, 911180011,    1,   37,    9,     9.0,   1.000
 5400, 911180031,    1,   28,    9,     9.0,   1.000
 5400, 910760011,    1,  269,    7,     7.0,   1.000
 5400, 910960031,    1,   24,    9,     9.0,   1.000
 5400, 310020271,    1,  109,   12,    12.0,   1.000
 5400, 610110131,    1,   30,   12,    12.0,   1.000
 5400, 910660071,    1,   37,   12,    12.0,   1.000
 5400, 911200111,    1,   75,    9,     9.0,   1.000
 5400, 910660011,    1,  117,   12,    12.0,   1.000
 5400, 910660051,    1,   41,   12,    12.0,   1.000
 5400, 911880011,    1,   81,    7,     7.0,   1.000
 5400, 910660091,    1,   33,   12,    12.0,   1.000
 5400, 921850011,    1,  108,   12,    12.0,   1.000
 5400, 910420031,    1,  167,   12,    12.0,   1.000
 5400, 410060031,    1,  195,    9,     4.4,   0.489
 5400, 920100011,    1,   33,    7,     4.4,   0.634
 5400, 910120071,    1,   75,    7,     7.0,   1.000
 5400, 920610011,    1,   31,    7,     7.0,   1.000
 5400, 610140111,    1,   37,   12,    12.0,   1.000
 5400, 911560061,    1,   21,    7,     7.0,   1.000
 5400, 910130031,    1,   58,    7,     7.0,   1.000
 5400, 410080061,    1,   21,   12,    12.0,   1.000
 5400, 420080081,    1,   29,   12,    12.0,   1.000
 5400, 610130051,    1,  132,   12,    12.0,   1.000
 5400, 920210171,    1,   94,   12,    12.0,   1.000
 5400, 410070211,    1,   65,   15,    15.0,   1.000
 5400, 921080011,    1,   80,   12,    12.0,   1.000
 5400, 921890031,    1,   28,    7,     7.0,   1.000
 5400, 911530031,    1,   30,    7,     7.0,   1.000
 5400, 310010211,    1,  209,   12,    12.0,   1.000
 5400, 920490011,    1,   84,    7,     7.0,   1.000
 5400, 910490071,    1,  221,    7,     7.0,   1.000
 5400, 610050011,    1,  546,   12,    12.0,   1.000
 5400, 910150031,    1,  153,    7,     7.0,   1.000
 5400, 910710051,    1,   66,    7,     7.0,   1.000
 5400, 911580011,    1,   80,    7,     7.0,   1.000
 5400, 910580011,    1,   40,    7,     7.0,   1.000
 5400, 911330011,    1,   77,    7,     7.0,   1.000
 5400, 410020111,    1,   94,   15,    15.0,   1.000
 5400, 911870071,    1,   95,    7,     7.0,   1.000
 5400, 910580031,    1,   37,    7,     7.0,   1.000
 5400, 910960091,    1,   83,    7,     7.0,   1.000
 5400, 610140191,    1,  115,   12,    12.0,   1.000
 5400, 910750011,    1,   81,    7,     7.0,   1.000
 5400, 910210431,    1,   72,   12,    12.0,   1.000
 5400, 910360031,    1,   50,    7,     7.0,   1.000
